feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,MSE Loss,Anomaly,Anomaly Probability
1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1068690819839313,-0.18546023974301207,-0.6601680231938524,0.2938776820529499,-0.8299398570538281,0.9083027793415743,0.0899882494061875,False,0.014943478041075667
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.482215372174418,-0.20068369785309617,1.3295728207062434,0.9333771336134284,1.8425666307055688,-0.14447267335163927,0.02020914791761312,False,0.002391597640120309
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.26692824446300945,-0.12887972043386614,0.5336764831462054,-0.20658858314309814,1.7377653399136772,-0.9756111886357551,0.12468926354249163,False,0.021185504234291545
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6313232683112965,-0.17240497112133388,-0.3948692440071729,-0.9016880078203738,-0.41072337502992934,-0.7816700029252983,0.03155071208758177,False,0.0044317207426586335
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.5350504142567023,-0.20068369785309617,0.7989752623328845,0.8221605605936156,-0.41072337502992934,1.102243965052031,0.1846937951870064,False,0.031979132822940175
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8955136961887561,-0.20068369785309617,-0.5275186336005128,-0.6514548752223496,-1.4587702395178435,0.2711054497679153,0.05349749088089239,False,0.008379512226402002
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7409301668807777,-0.20068369785309617,0.4010270935528652,0.5163108280925756,0.3229082982259773,0.21567848446064783,0.10609698127356762,False,0.017841120336505922
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.21409320238072516,-0.1210373329226107,0.0030789247728461493,-0.6514548752223496,-1.0395537574939444,-0.08906343899936459,0.0574329925869242,False,0.009087431154534883
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7898385395355081,-0.1549902576772225,0.5336764831462054,-0.6236548886639515,0.5849171846338724,-0.9202019542834807,0.15888740203678028,False,0.02733707304441594
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2653843532081428,-0.20721133216393525,1.196923431112904,0.40509425507276275,1.5805577442976744,-0.4492145968116522,0.16630591977359407,False,0.02867151767609552
